Bx	Pth
0.000509	26718.300000
0.000285	26405.800000
0.000159	25780.800000
0.000911	26405.800000
0.000509	26405.800000
0.000159	26405.800000
0.000000	25468.300000
0.000285	25780.800000
0.000572	26405.800000
0.000159	25780.800000
0.001024	26718.300000
0.000000	26093.300000
0.000159	26718.300000
0.001024	26718.300000
0.000285	26405.800000
0.000572	25780.800000
0.001024	26718.300000
0.000320	26093.300000
0.000000	26093.300000
0.000179	26093.300000
0.001024	27185.700000
0.001024	27185.700000
0.000000	25780.800000
0.000572	26093.300000
0.000320	26405.800000
0.000179	25780.800000
0.000320	26093.300000
0.001150	26718.300000
0.000572	26093.300000
0.000000	26093.300000
0.001150	27185.700000
0.000320	26093.300000
0.000179	26093.300000
0.001150	27810.700000
0.000179	26093.300000
0.000320	26405.800000
0.000100	26405.800000
0.000572	26093.300000
0.001150	26718.300000
0.000100	26093.300000
0.000359	25780.800000
0.001150	27185.700000
0.000179	26093.300000
0.001292	28435.800000
0.000359	26718.300000
0.001292	27810.700000
0.000643	26093.300000
0.000201	26405.800000
0.000100	26093.300000
0.001292	27185.700000
0.000359	26093.300000
0.000643	26093.300000
0.000201	26093.300000
0.000100	26405.800000
0.001292	27185.700000
0.000201	27185.700000
0.000643	26405.800000
0.000359	26405.800000
0.000100	26405.800000
0.001292	27185.700000
0.000112	26093.300000
0.000643	26093.300000
0.000201	26093.300000
0.000359	26405.800000
0.001451	27810.700000
0.000643	26405.800000
0.000112	26093.300000
0.000201	25780.800000
0.001451	27810.700000
0.000722	26405.800000
0.001451	27810.700000
0.000404	25780.800000
0.000226	25780.800000
0.000722	26718.300000
0.000112	26093.300000
0.001451	27810.700000
0.001451	27810.700000
0.000226	26093.300000
0.000722	26405.800000
0.000112	26093.300000
0.000404	26405.800000
0.000722	26093.300000
0.001630	28435.800000
0.000112	26093.300000
0.000226	25780.800000
0.000404	26093.300000
0.001630	28435.800000
0.000722	26093.300000
0.000126	25780.800000
0.001630	28435.800000
0.000226	26405.800000
0.001630	28435.800000
0.000404	26093.300000
0.000126	26093.300000
0.000811	26718.300000
0.000126	26093.300000
0.000404	26093.300000
0.000226	25780.800000
0.001630	28435.800000
0.000811	26718.300000
0.000126	26093.300000
0.000453	26718.300000
0.000811	26718.300000
0.000254	26093.300000
0.001831	29060.800000
0.000126	26093.300000
0.000453	26405.800000
0.000811	26718.300000
0.000254	26718.300000
0.000142	26093.300000
0.000811	26718.300000
0.000254	25780.800000
0.000453	26093.300000
0.000911	27185.700000
0.001831	29060.800000
0.000142	25780.800000
0.000254	26093.300000
0.001831	29685.900000
0.000911	26405.800000
0.000453	25780.800000
0.001831	28435.800000
0.000254	26093.300000
0.000911	26405.800000
0.001831	29060.800000
0.000453	26093.300000
0.000911	27185.700000
0.002057	29060.800000
0.000509	26093.300000
0.000142	25780.800000
0.000285	26093.300000
0.003275	29685.900000
0.002057	29685.900000
0.000509	26405.800000
0.000285	26405.800000
0.000142	26718.300000
0.002057	29685.900000
0.003275	29685.900000
0.000142	26093.300000
0.005857	27810.700000
0.000509	26093.300000
0.010476	27810.700000
0.003275	30310.900000
0.005857	27810.700000
0.002057	29060.800000
0.010476	27185.700000
0.011768	27810.700000
0.003275	30935.900000
0.005857	28435.800000
0.011768	27810.700000
0.006579	29060.800000
0.011768	27185.700000
0.002057	29685.900000
0.000159	25780.800000
0.011768	27810.700000
