Bx	Pth	Multipactor Order
0.006310	58983.100000	17.041300
0.007943	60545.600000	14.365100
0.005012	62108.100000	22.201300
0.008318	58983.100000	13.877600
0.006310	62108.100000	18.202000
0.003981	64451.900000	32.364400
0.003162	69526.900000	37.247700
0.002399	74214.600000	56.908600
0.005012	63670.700000	22.189100
0.008318	58983.100000	13.923200
0.006607	60545.600000	19.595300
0.008318	58201.800000	14.094100
0.000000	60545.600000	42.310100
0.001514	85152.700000	73.640100
0.003162	67964.300000	37.823600
0.001202	78902.400000	69.222100
0.002512	74214.600000	40.666900
0.008318	59764.300000	13.397700
0.005012	63670.700000	22.128100
0.003981	67964.300000	29.184500
0.006607	59764.300000	18.594200
0.001905	83590.100000	69.029700
0.008318	60545.600000	15.164400
0.005248	62108.100000	21.983200
0.003162	69526.900000	35.257600
0.006607	61326.900000	17.273700
0.008710	60545.600000	14.487200
0.005248	62108.100000	21.562600
0.002512	74214.600000	50.590100
0.006607	61326.900000	17.038500
0.000000	61326.900000	42.536700
0.008710	60545.600000	12.875700
0.003162	67964.300000	32.917400
0.003981	66014.500000	34.804200
0.001202	78902.400000	60.135200
0.005248	62108.100000	21.134300
0.001514	85152.700000	66.047900
0.008710	58983.100000	16.255300
0.006607	60545.600000	17.673500
0.005248	62108.100000	21.251300
0.008710	60545.600000	14.391900
0.003162	69526.900000	34.985100
0.001905	80465.000000	61.567800
0.002512	75777.200000	43.510200
0.006918	61326.900000	16.999900
0.003981	65233.200000	38.401300
0.008710	61326.900000	12.886900
0.005248	63670.700000	20.877700
0.000000	60545.600000	44.157200
0.006918	61326.900000	16.573100
0.009120	58983.100000	12.581700
0.003311	67964.300000	42.088600
0.002512	75777.200000	44.433700
0.004169	63670.700000	29.055800
0.005495	63670.700000	21.492000
0.006918	62889.400000	16.769400
0.009120	58201.800000	13.452200
0.001514	85152.700000	64.406200
0.001202	78902.400000	71.758800
0.005495	61326.900000	20.769900
0.009120	58983.100000	12.210000
0.001995	82027.500000	60.191900
0.006918	60545.600000	17.965000
0.003311	69526.900000	34.488500
0.009120	58201.800000	14.446600
0.005495	61326.900000	21.284700
0.000000	59764.300000	44.196600
0.004169	65233.200000	40.697600
0.006918	61326.900000	22.612600
0.002512	74214.600000	45.115600
0.009120	58983.100000	13.330800
0.005495	62889.400000	20.156300
0.003311	67964.300000	36.909400
0.009550	56639.300000	11.304200
0.007244	58983.100000	16.201500
0.005495	62889.400000	19.451700
0.001585	85152.700000	70.116400
0.009550	55858.000000	12.599000
0.001202	77339.800000	68.664500
0.004169	65233.200000	42.489800
0.002630	72652.000000	40.705200
0.007244	58983.100000	15.816700
0.009550	55858.000000	12.159100
0.001995	80465.000000	55.548300
0.005754	61326.900000	20.821800
0.003311	69526.900000	33.263400
0.000000	60545.600000	43.404600
0.007244	59764.300000	18.459900
0.009550	58983.100000	11.416000
0.005754	62108.100000	20.874700
0.009550	55076.700000	13.171800
0.007244	61326.900000	16.280800
0.010000	57420.500000	10.969600
0.001259	78902.400000	69.997600
0.004169	64451.900000	31.219300
0.001585	83590.100000	71.985300
0.010000	56639.300000	11.168800
