By	Pth	Multipactor Order
0.000000	60545.600000	44.781100
0.003802	48826.600000	43.056100
0.006026	48045.300000	44.119600
0.002399	51951.700000	41.326700
0.001514	55858.000000	44.797200
0.000000	59764.300000	43.235200
0.003802	50389.100000	41.830800
0.006310	48045.300000	42.292100
0.002399	52732.900000	37.892800
0.000000	59764.300000	43.243000
0.001514	55076.700000	44.538900
0.006310	47264.000000	40.670600
0.003981	51170.400000	41.913600
0.002399	54295.500000	39.672600
0.000000	59764.300000	43.229300
0.001514	55858.000000	48.199600
0.006310	47264.000000	40.612700
0.003981	49607.800000	40.769700
0.002512	53514.200000	40.327000
0.006310	46482.700000	44.032400
0.000000	58983.100000	44.515700
0.001514	56639.300000	45.031900
0.003981	48826.600000	39.394800
0.006310	47264.000000	44.758900
0.002512	54295.500000	42.231800
0.000000	61326.900000	44.074500
0.003981	49607.800000	43.655500
0.001585	55076.700000	43.996200
0.006607	46482.700000	41.513000
0.002512	52732.900000	43.616300
0.003981	50389.100000	43.934100
0.001585	55076.700000	44.138800
0.001000	57420.500000	44.198600
0.006607	48045.300000	42.699100
0.002512	52732.900000	39.905000
0.004169	50389.100000	45.783100
0.006607	47264.000000	43.336700
0.001585	54295.500000	43.934100
0.001000	58201.800000	44.107300
0.002512	53514.200000	41.722300
0.004169	50389.100000	41.916100
0.006607	46482.700000	41.041600
0.001000	57420.500000	42.868900
0.001585	55076.700000	43.380500
0.006607	47264.000000	42.973600
0.002630	52732.900000	39.511200
0.004169	49607.800000	40.430700
0.006918	48045.300000	43.566500
0.001000	57420.500000	41.850200
0.001585	55076.700000	44.094400
0.004169	50389.100000	38.995600
0.002630	52732.900000	41.243900
0.006918	47264.000000	41.722700
0.004169	48826.600000	44.239500
0.006918	48045.300000	42.461000
0.001000	57420.500000	42.488300
0.002630	52732.900000	45.043300
0.001660	55076.700000	44.296400
0.004365	49607.800000	43.497900
0.006918	48045.300000	44.644700
0.001047	56639.300000	44.342500
0.001660	55076.700000	41.008500
0.002630	52732.900000	38.821000
0.004365	48826.600000	42.953100
0.001047	55858.000000	44.148500
0.006918	47264.000000	41.150000
0.001660	55858.000000	40.301700
0.002630	52732.900000	41.042000
0.004365	49607.800000	44.256400
0.001660	55858.000000	40.607500
0.007244	47264.000000	40.041200
0.001047	58201.800000	42.193500
0.004365	48826.600000	45.121500
0.002754	53514.200000	43.484300
0.007244	48045.300000	42.441500
0.001660	56639.300000	40.544500
0.004365	48045.300000	42.402200
0.001047	58201.800000	44.938500
0.007244	47264.000000	40.407000
0.002754	52732.900000	43.699000
0.001738	54295.500000	41.035400
0.004571	48826.600000	44.344800
0.007244	48045.300000	38.981700
0.001047	57420.500000	44.590900
0.002754	52732.900000	41.225300
0.004571	48826.600000	45.206700
0.007244	48045.300000	41.566200
0.001738	55076.700000	43.076000
0.002754	53514.200000	43.095200
0.001096	56639.300000	40.230300
0.004571	48045.300000	41.826400
0.007586	47264.000000	40.633500
0.001738	55076.700000	39.098200
0.001096	56639.300000	43.237300
0.002754	53514.200000	44.169300
0.007586	47264.000000	41.816800
0.004571	49607.800000	43.367400
0.001096	55858.000000	43.310400
0.001738	55076.700000	44.236600
0.007586	47264.000000	42.568200
0.004571	50389.100000	39.365300
0.002884	51951.700000	43.184300
0.007586	46482.700000	42.795200
0.001096	57420.500000	44.143500
0.004786	48826.600000	42.295400
0.001738	55858.000000	41.509400
0.007586	47264.000000	40.612400
0.002884	51951.700000	42.869300
0.001096	58201.800000	43.153300
0.004786	48826.600000	44.503900
0.001820	52732.900000	43.566300
0.007943	48045.300000	44.098300
0.002884	51170.400000	43.899100
0.004786	48826.600000	41.446400
0.001148	57420.500000	42.700200
0.007943	47264.000000	40.548400
0.001820	55076.700000	44.087200
0.004786	48826.600000	42.646400
0.002884	51951.700000	42.961600
0.007943	48826.600000	44.121500
0.001148	55858.000000	40.037100
0.001820	56639.300000	42.561100
0.004786	48045.300000	42.201300
0.007943	46482.700000	41.406100
0.002884	51951.700000	42.205700
0.001148	55858.000000	44.629800
0.005012	48826.600000	42.528400
0.007943	47264.000000	43.361400
0.001820	54295.500000	44.485700
0.005012	47264.000000	42.336900
0.003020	52732.900000	40.694500
0.008318	47264.000000	42.750900
0.001148	58201.800000	42.711200
0.005012	48045.300000	42.724800
0.001820	54295.500000	40.614100
0.008318	48826.600000	43.299800
0.003020	51951.700000	43.503800
0.005012	48045.300000	44.343900
0.001148	57420.500000	41.085400
0.008318	47264.000000	40.855400
0.001905	55076.700000	44.317600
0.005012	48045.300000	43.754000
0.003020	51170.400000	43.968900
0.008318	48045.300000	40.607700
0.001202	57420.500000	44.704800
0.005248	48045.300000	45.036400
0.001905	55076.700000	48.987400
0.003020	51170.400000	42.010600
0.008318	47264.000000	44.091800
